key,en
"Save the current dialogue sequence.","Save the current dialogue sequence."
"Arrange the current dialogue sequence nodes.","Arrange the current dialogue sequence nodes."
"Refresh the current dialogue sequence.","Refresh the current dialogue sequence."
"Delete the selected node.","Delete the selected node."
